method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,tr_time
CPI_n,0.3,0.49602281233218015,-21.955095410841068,0.9832225057241316,-36.519922327546055,0.6405442472024201,641.3343772398528,0.0003865620547817829,259.6472518284388,0.020180475733030608,-15.286222044283022,0.8553722927093365,-41.35305107095269,0.9673921038969253,127.03896612870699,0.041162452783384755,67.85924720027924,0.0052095853687381365,320.0381027222936,0.001515052523904645,36.91776205650285,0.21350658612090373,3.9139429999013373,0.4464888401456173,3.1532540321350098
CPI_n,0.6,0.4905294786154215,-24.74629498049353,0.9913278262174182,-41.18726594667737,0.6564638895539905,629.2980730728734,0.0004148690163655544,270.9426607031828,0.017589303062815954,-15.228529097488035,0.8492289029516289,-39.663475271630205,0.9611915373747869,123.6938614406265,0.04384795306244853,70.56963969511276,0.004632937652036526,323.66346563891625,0.0013815261902816165,36.395124537853235,0.210610003213964,-3.6603273686118882,0.5616848606863953,3.1281771659851074
CPI_n,0.9,0.4856534051939201,-30.71265055134836,0.9953443605149362,-46.96699181316603,0.6784142973570563,599.8368408310662,0.0004958952375585966,273.69965529800334,0.017257287751435972,-13.956843804258824,0.8615507446705741,-42.67162707162174,0.9576292579833964,116.58300152334937,0.046978403162005945,74.57498845223063,0.004482745492914289,332.1422392863992,0.001114490277230457,36.25277970814,0.2078161324689769,-4.452013223471113,0.6205010117536333,3.1677756309509277
CPI_bt,0.0,0.49584420688032205,-21.777874486051587,0.6022328659941646,-33.588165233064274,0.5011008134185309,641.5583360894191,0.4930050746879859,259.343167399659,0.4939221251884459,-15.454148850933052,0.5361527477193014,-42.06078231987635,0.5347480414654363,126.14575016511185,0.4899695612642283,68.73189609391738,0.45782157456519557,319.5907672948597,0.48758331381348097,37.53736714568481,0.4938266219088091,6.472022803346135,0.4965615353198266,10.170328378677368
CPI_bt,0.3,0.49602281233218015,-21.955095410841068,0.5975649877488565,-36.519922327546055,0.5013581385637316,641.3343772398528,0.49173528179142967,259.6472518284388,0.4923828490864611,-15.286222044283022,0.5290312186499069,-41.35305107095269,0.5307422259753715,127.03896612870699,0.48739643847687325,67.85924720027924,0.4695764867455775,320.0381027222936,0.4896296459786182,36.91776205650285,0.492293245531237,3.9139429999013373,0.4980795272194031,3.2090156078338623
CPI_bt,0.6,0.4905294786154215,-24.74629498049353,0.6058194190785748,-41.18726594667737,0.5016408961330208,629.2980730728734,0.49147406455472054,270.9426607031828,0.49259759576022377,-15.228529097488035,0.5225086395201706,-39.663475271630205,0.5377194756911572,123.6938614406265,0.49088704399228433,70.56963969511276,0.4613880493423915,323.66346563891625,0.48843661802714855,36.395124537853235,0.4913553578453984,-3.6603273686118882,0.5026247969230121,3.197477102279663
CPI_bt,0.9,0.4856534051939201,-30.71265055134836,0.5839270576696366,-46.96699181316603,0.5021086523072081,599.8368408310662,0.49224069797619635,273.69965529800334,0.49346895437829164,-13.956843804258824,0.5357402524275159,-42.67162707162174,0.5330616187926149,116.58300152334937,0.4877626292451227,74.57498845223063,0.46478279586408167,332.1422392863992,0.4862972185500801,36.25277970814,0.49285460261905545,-4.452013223471113,0.509166392308445,3.241690158843994
CPI_sqd,0.0,0.49584420688032205,-21.777874486051587,0.5893017672640166,-33.588165233064274,0.5014277652467513,641.5583360894191,0.4931235407570452,259.343167399659,0.4940215926966155,-15.454148850933052,0.5328377491199319,-42.06078231987635,0.5323758900538733,126.14575016511185,0.49095087879290095,68.73189609391738,0.4583263488095003,319.5907672948597,0.4880089042161366,37.53736714568481,0.49316099645231337,6.472022803346135,0.49681029767437834,10.15724778175354
CPI_sqd,0.3,0.49602281233218015,-21.955095410841068,0.5838548746977029,-36.519922327546055,0.5015984701594616,641.3343772398528,0.49213075155925196,259.6472518284388,0.4949591151490444,-15.286222044283022,0.5327911997724574,-41.35305107095269,0.5355413660244422,127.03896612870699,0.49197335756299027,67.85924720027924,0.4554351085434881,320.0381027222936,0.48545769117403587,36.91776205650285,0.49074120475317473,3.9139429999013373,0.4980545586930031,3.2051169872283936
CPI_sqd,0.6,0.4905294786154215,-24.74629498049353,0.6065268743409158,-41.18726594667737,0.5016941218100226,629.2980730728734,0.4925687676769366,270.9426607031828,0.49302999885465987,-15.228529097488035,0.5267796218279167,-39.663475271630205,0.533949371645165,123.6938614406265,0.49095472316642313,70.56963969511276,0.45875787226072123,323.66346563891625,0.4905037457214099,36.395124537853235,0.4934790995393988,-3.6603273686118882,0.5030899689143074,3.188657283782959
CPI_sqd,0.9,0.4856534051939201,-30.71265055134836,0.5919804282782082,-46.96699181316603,0.501732829519902,599.8368408310662,0.49227581285102434,273.69965529800334,0.49394390350276,-13.956843804258824,0.5371234366709433,-42.67162707162174,0.5256755084222476,116.58300152334937,0.4912162781472928,74.57498845223063,0.4573281292037237,332.1422392863992,0.488219378653838,36.25277970814,0.4930636714491698,-4.452013223471113,0.5079623979053811,3.2367355823516846
S-CPI,0.0,0.49584420688032205,-18.49208395210677,0.9328224016546506,-3.143149570346395,0.5096666096123386,574.4079895524382,0.013976595076163677,193.41933730645408,0.10179397349293273,-13.921278100032891,0.7622017600973918,-9.977863090106522,0.6408425841601975,70.47948513962803,0.2036952004787022,45.91578894109344,0.0869844530929812,270.71340653760757,0.020421077181000044,-6.4147774717962,0.5465307067795104,52.644678684868765,0.12873926253603674,10.092584133148193
S-CPI,0.3,0.49602281233218015,-19.438836190789846,0.9457382477524051,-3.9764806380720654,0.5122661490598247,572.3529777780492,0.014501083803340744,191.85980718416388,0.1025330871341325,-13.401663687298589,0.7521459313073635,-9.237724364777684,0.6322900224624655,70.70499141565547,0.2016486464854934,44.830248765466756,0.09326000130243528,272.3163299998272,0.020354148564702423,-6.918579612133313,0.5502022179714655,52.28680038564686,0.13958403650292733,3.1324379444122314
S-CPI,0.6,0.4905294786154215,-20.484707401098436,0.9543494371233339,-9.704057108692309,0.5297030981184161,561.2989231504736,0.015152955519696325,199.83416026649095,0.09825342207549742,-14.294521619836319,0.7612110758549873,-9.454225051904773,0.6335236823221038,67.00226187091671,0.20936051869807576,46.607454874278616,0.09071310143670547,273.50407445688603,0.020870702019780286,-3.6902978332756735,0.527407483146787,33.32185091619687,0.20708292465441658,3.1244661808013916
S-CPI,0.9,0.4856534051939201,-24.695820713192337,0.9596592131100463,-19.232487649282202,0.5590659540343383,536.8062138485774,0.016043551948694088,203.5523016394336,0.0960566233633302,-13.76904353921294,0.7883282693713776,-12.137942837317,0.6549592741739519,63.43246940463566,0.21280230387121446,49.43720646777117,0.08780383894617816,274.16930105730444,0.022037009682952927,-2.894214628998022,0.5220093295626148,16.800752272677695,0.2578574772526435,3.162965774536133
S-CPI_sqrt,0.0,0.49584420688032205,-18.49208395210677,0.8352408167157079,-3.143149570346395,0.509197751312424,574.4079895524382,0.016028563777463943,193.41933730645408,0.11153005716487036,-13.921278100032891,0.7029251001054297,-9.977863090106522,0.6145183669095307,70.47948513962803,0.2210251944826755,45.91578894109344,0.1277825348762449,270.71340653760757,0.02571836246886687,-6.4147774717962,0.5415454394072156,52.644678684868765,0.16075589743990454,10.093155860900879
S-CPI_sqrt,0.3,0.49602281233218015,-19.438836190789846,0.8503871272817447,-3.9764806380720654,0.5116695407941206,572.3529777780492,0.016597022547976317,191.85980718416388,0.11233322765308085,-13.401663687298589,0.6949253229033648,-9.237724364777684,0.607227619668225,70.70499141565547,0.2191240326220918,44.830248765466756,0.13446599143088178,272.3163299998272,0.025612016784782993,-6.918579612133313,0.5448235664876271,52.28680038564686,0.17057336578111865,3.1380116939544678
S-CPI_sqrt,0.6,0.4905294786154215,-20.484707401098436,0.8627687663117931,-9.704057108692309,0.5282699789148422,561.2989231504736,0.017336076430820208,199.83416026649095,0.1077417988223473,-14.294521619836319,0.703525180550685,-9.454225051904773,0.6085180803705674,67.00226187091671,0.2269668630934769,46.607454874278616,0.13064058839409054,273.50407445688603,0.026156159128164012,-3.6902978332756735,0.524405046610992,33.32185091619687,0.2411198372295864,3.1275885105133057
S-CPI_sqrt,0.9,0.4856534051939201,-24.695820713192337,0.8829943112146035,-19.232487649282202,0.5562141871524693,536.8062138485774,0.01839047979038782,203.5523016394336,0.10540764777891276,-13.76904353921294,0.7184593866200653,-12.137942837317,0.6283851347223222,63.43246940463566,0.23097725398142016,49.43720646777117,0.12576130761927928,274.16930105730444,0.02742025730415853,-2.894214628998022,0.5195464693647722,16.800752272677695,0.30238429072724715,3.1548924446105957
S-CPI_n,0.0,0.49584420688032205,-18.49208395210677,0.9237454200459628,-3.143149570346395,0.5096240702442831,574.4079895524382,0.014148986277416658,193.41933730645408,0.10264535325610413,-13.921278100032891,0.755857061165323,-9.977863090106522,0.6381005399974047,70.47948513962803,0.2052689304160406,45.91578894109344,0.09063378598744148,270.71340653760757,0.020859737064759996,-6.4147774717962,0.5460516489099426,52.644678684868765,0.13166090866781865,10.08356523513794
S-CPI_n,0.3,0.49602281233218015,-19.438836190789846,0.93727854315306,-3.9764806380720654,0.5122120120984193,572.3529777780492,0.01467731215931345,191.85980718416388,0.10339027780565413,-13.401663687298589,0.7460023486301444,-9.237724364777684,0.6296709106839853,70.70499141565547,0.20323536213212062,44.830248765466756,0.09697264760737201,272.3163299998272,0.020789587919030527,-6.918579612133313,0.5496853766459557,52.28680038564686,0.14242288575681622,3.139737844467163
S-CPI_n,0.6,0.4905294786154215,-20.484707401098436,0.9465582988367693,-9.704057108692309,0.5295731080153061,561.2989231504736,0.015336610371816332,199.83416026649095,0.0990822161762992,-14.294521619836319,0.7550697175834469,-9.454225051904773,0.6309168535038139,67.00226187091671,0.21096300606245866,46.607454874278616,0.09429534984309068,273.50407445688603,0.021309004232674435,-3.6902978332756735,0.5271182183581465,33.32185091619687,0.2103323099920722,3.123626232147217
S-CPI_n,0.9,0.4856534051939201,-24.695820713192337,0.9533909457608525,-19.232487649282202,0.5588073099643656,536.8062138485774,0.01624101703285628,203.5523016394336,0.09687286352088298,-13.76904353921294,0.7807710599834419,-12.137942837317,0.6522388678183364,63.43246940463566,0.21446084778451835,49.43720646777117,0.09119122665180651,274.16930105730444,0.02248455006807969,-2.894214628998022,0.5217714751878233,16.800752272677695,0.2624341587926867,3.159510612487793
