method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
CPI_sqrt,0.6,0.32986913990912037,0.0014953297518617847,0.48548546336053033,0.01375009180821904,0.37649875956729034,-0.002721846501131442,0.5271606545996794,0.0030432775631063502,0.47253314427993454,-5.9643130264658284e-05,0.5006320552507668,0.1591688818942175,0.02665638524337822,0.01810081596799265,0.34778357511091684,-5.930561091993525e-06,0.5000631935194464,-0.0016071228588566133,0.5163486638935362,0.008001003107750981,0.4221828598134626,0.09112935334396702,0.04860954112915288,0.0011995430710596833,0.4880566887452251,4.616670370101929
CPI_sqrt,0.9,0.3254320547049052,0.0003828637975049898,0.4961528041149167,0.014674211187857722,0.3664655473052829,-0.0019925805505380256,0.5198013508814805,-0.0014893365731268593,0.514231650940288,-0.00011272135111806136,0.5011952464438334,0.015418060722814486,0.3689880912835605,0.0014066756544980907,0.4856471676547817,-1.1818343275488141e-05,0.5001259283517698,-0.0011671680248462324,0.5118864075521539,0.008415609452172734,0.4186290246197784,0.059794317115791196,0.12037408281946638,-4.287121592444487e-05,0.5004447439335932,4.4974963665008545
CPI_n,0.0,0.3143285605174141,0.009368287854028046,0.08596421271971694,0.015373218362192631,0.03773107659708902,-0.0019909163036176958,0.6749669380709508,-0.0008364018223892544,0.5358381322556709,-7.805342939598559e-05,0.5151421609861249,0.20839397710471955,0.00025919511378375514,0.050389673594189804,0.00554443905438526,1.8146788262896063e-06,0.4995778846191845,-0.0014745667974948584,0.6574620152310218,0.007895557258290803,0.0707691455942671,0.09835146396428626,7.902331915871009e-07,0.0014313318795939056,0.35612782292111794,11.968406915664673
CPI_n,0.3,0.32992470792329165,0.003467955110844634,0.2255191847147206,0.011559013224772624,0.041704864033760884,-0.0031028672450983397,0.7691530238613089,0.00791911978925211,0.160007864561296,-0.00016827525641258112,0.5363006735566694,0.14843529087364052,0.0005557920830136201,0.03358992959049614,0.002783343398192127,-3.662938815485184e-06,0.5008516044656198,-0.001678930286904745,0.6925824587247751,0.0054048770329157,0.09578522318939259,0.10448150381567442,3.984714796901926e-07,0.005176005499938935,0.17443937285237798,4.470057487487793
CPI_n,0.6,0.32986913990912037,0.0014953297518617847,0.39032079061303454,0.01375009180821904,0.0422936966284705,-0.002721846501131442,0.7402028447614444,0.0030432775631063502,0.3592961900508468,-5.9643130264658284e-05,0.5123642727396631,0.1591688818942175,0.0003222761990719765,0.01810081596799265,0.04288742855964556,-5.930561091993525e-06,0.5013769821181557,-0.0016071228588566133,0.6776713924156169,0.008001003107750981,0.05601902595478094,0.09112935334396702,1.0687078096433851e-06,0.0011995430710596833,0.39114208852770616,4.692698240280151
CPI_n,0.9,0.3254320547049052,0.0003828637975049898,0.4616782743013106,0.014674211187857722,0.02195123373930066,-0.0019925805505380256,0.6744192649195363,-0.0014893365731268593,0.5977202345401417,-0.00011272135111806136,0.5236313351222742,0.015418060722814486,0.0684686097418367,0.0014066756544980907,0.33814641110005506,-1.1818343275488141e-05,0.5027426620779777,-0.0011671680248462324,0.6325765264405656,0.008415609452172734,0.0544648093156109,0.059794317115791196,4.404659913908109e-05,-4.287121592444487e-05,0.5062541489574698,4.547504663467407
CPI_bt,0.0,0.3143285605174141,0.009368287854028046,3.36421094722306e-08,0.015373218362192631,1.0588630002969073e-18,-0.0019909163036176958,0.8770805177692438,-0.0008364018223892544,0.6816635004806415,-7.805342939598559e-05,0.518218860385552,0.20839397710471955,0.0,0.050389673594189804,7.911221118438147e-136,1.8146788262896063e-06,0.4995762492850219,-0.0014745667974948584,0.8054917503425307,0.007895557258290803,2.2434072401737726e-06,0.09835146396428626,0.0,0.0014313318795939056,0.20164571089552352,12.632969617843628
CPI_bt,0.3,0.32992470792329165,0.003467955110844634,0.02170380833089216,0.011559013224772624,1.1933790010733195e-11,-0.0031028672450983397,0.964812617800783,0.00791911978925211,2.960761378602958e-06,-0.00016827525641258112,0.5392305291429993,0.14843529087364052,0.0,0.03358992959049614,1.2693770651444428e-76,-3.662938815485184e-06,0.5008553425615285,-0.001678930286904745,0.8367436795748873,0.0054048770329157,0.0008069518506285511,0.10448150381567442,0.0,0.005176005499938935,0.0013305394148797416,5.072236061096191
CPI_bt,0.6,0.32986913990912037,0.0014953297518617847,0.19241791151709192,0.01375009180821904,1.7060777091990314e-15,-0.002721846501131442,0.9437530226130473,0.0030432775631063502,0.0414584969277011,-5.9643130264658284e-05,0.5139242102035638,0.1591688818942175,0.0,0.01810081596799265,1.3595829478617299e-24,-5.930561091993525e-06,0.5013848593029331,-0.0016071228588566133,0.8261404402681443,0.008001003107750981,1.6504990509516952e-06,0.09112935334396702,0.0,0.0011995430710596833,0.24212793908666086,5.4022276401519775
CPI_bt,0.9,0.3254320547049052,0.0003828637975049898,0.41159404300130076,0.014674211187857722,1.7504879899665722e-17,-0.0019925805505380256,0.8773098261417231,-0.0014893365731268593,0.8060973361671613,-0.00011272135111806136,0.52630221479341,0.015418060722814486,3.2702875880568945e-18,0.0014066756544980907,0.2054630999926273,-1.1818343275488141e-05,0.5027597127071942,-0.0011671680248462324,0.7523684767239083,0.008415609452172734,4.980866947243777e-07,0.059794317115791196,2.9705802699093233e-218,-4.287121592444487e-05,0.5100035185247207,5.24486780166626
