method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
CPI_sqrt,0.6,0.6039744887253304,0.28498831430690336,2.562235294684569e-16,0.008396255860465551,0.30250327014017875,0.007520924669846829,0.34009381007344225,0.01482037885069315,0.2644294340287999,-2.603622308083864e-06,0.5000708172880992,0.0006116176796772121,0.48345502981483357,0.08530650588002564,6.165762143336177e-05,0.08440266392762269,4.661841463693068e-05,-3.081965305906653e-06,0.5000838255945385,32.12206816673279
CPI_sqrt,0.9,0.60397837672582,0.28497776767971456,2.5710885144246053e-16,0.008364988261875705,0.30306501924579443,0.007519503439651576,0.34014494466709744,0.014822386233387996,0.2644111420798554,-5.109957026960821e-07,0.5000139009781768,0.0005994562266321557,0.48378260525322614,0.08529717155575511,6.184221929005226e-05,0.08440518799036417,4.663573563635287e-05,-6.837565372230792e-07,0.5000186005177244,31.572177410125732
CPI_n,0.0,0.6038564953133433,0.2851728383327234,1.601645175090286e-43,0.010248347041822647,6.976919535993403e-08,0.007663613504757694,0.019351729027413472,0.014811671387178371,0.051004351338899384,-2.3507830117508455e-05,0.5365367340461262,0.0006753731587434975,0.002731010183073512,0.08540475561142935,1.4485351746391255e-28,0.08447368482614026,9.570622237759465e-33,-6.220453886268684e-05,0.5967477158377736,36.57418465614319
CPI_n,0.3,0.6039584897732218,0.28502463991423493,1.464531192917335e-43,0.008593734556437582,7.406448585387807e-07,0.007531815812072462,0.022661522776893525,0.014816061050590135,0.05087028936882155,-1.1412036321656327e-05,0.5229070039646877,0.0006447026022809443,0.009164623169327814,0.0853372917493313,1.3739221514230347e-28,0.08440414252545492,1.0053311041104501e-32,-1.265865790234244e-05,0.5252785869569268,31.984097719192505
CPI_n,0.6,0.6039744887253304,0.28498831430690336,1.4970075365145776e-43,0.008396255860465551,8.644247014472455e-07,0.007520924669846829,0.022949895531265092,0.01482037885069315,0.050859055103884165,-2.603622308083864e-06,0.5054909449814748,0.0006116176796772121,0.01059008697133803,0.08530650588002564,1.5139410068689787e-28,0.08440266392762269,1.0592915216700167e-32,-3.081965305906653e-06,0.5064853023508177,31.90954566001892
CPI_n,0.9,0.60397837672582,0.28497776767971456,1.5148478106941051e-43,0.008364988261875705,8.246862692734274e-07,0.007519503439651576,0.023049185424137884,0.014822386233387996,0.05085663008244099,-5.109957026960821e-07,0.5010907122019213,0.0005994562266321557,0.011651254617708056,0.08529717155575511,1.5790814053289314e-28,0.08440518799036417,1.0790186935138947e-32,-6.837565372230792e-07,0.5014582613028988,30.967182636260986
CPI_bt,0.0,0.6038564953133433,0.2851728383327234,0.0,0.010248347041822647,0.0,0.007663613504757694,0.0,0.014811671387178371,0.0,-2.3507830117508455e-05,0.5501891614284239,0.0006753731587434975,0.00014505114269847136,0.08540475561142935,0.0,0.08447368482614026,0.0,-6.220453886268684e-05,0.6307273198419532,102.51650929450989
CPI_bt,0.3,0.6039584897732218,0.28502463991423493,0.0,0.008593734556437582,0.0,0.007531815812072462,0.0,0.014816061050590135,0.0,-1.1412036321656327e-05,0.5244146856560348,0.0006447026022809443,0.0002707652237851503,0.0853372917493313,0.0,0.08440414252545492,0.0,-1.265865790234244e-05,0.5270777823081998,93.79935050010681
CPI_bt,0.6,0.6039744887253304,0.28498831430690336,0.0,0.008396255860465551,0.0,0.007520924669846829,0.0,0.01482037885069315,0.0,-2.603622308083864e-06,0.5055734426940546,0.0006116176796772121,0.0005156896956061094,0.08530650588002564,0.0,0.08440266392762269,0.0,-3.081965305906653e-06,0.5065973211900932,95.01699113845825
CPI_bt,0.9,0.60397837672582,0.28497776767971456,0.0,0.008364988261875705,0.0,0.007519503439651576,0.0,0.014822386233387996,0.0,-5.109957026960821e-07,0.501093896934723,0.0005994562266321557,0.0006486619907875259,0.08529717155575511,0.0,0.08440518799036417,0.0,-6.837565372230792e-07,0.5014637274531726,94.16942834854126
