method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
S-CPI_sqrt,0.0,0.810450204953024,0.15088595377147007,1.1953827220007118e-11,0.03268473150895981,0.04688809586922008,0.010934801228623316,0.2534681298597098,0.010360061745271841,0.264088200114578,0.009598111382281484,0.2821100857737797,0.18743486755434846,7.788756783093484e-17,0.11894239849277376,1.3876472653108687e-09,0.12743363827523616,6.312225806984136e-11,-0.0006236471232752686,0.5161703828097147,90.62599015235901
S-CPI_sqrt,0.3,0.81209915274032,0.14765476960190896,2.8127343039737532e-11,0.03230575122799799,0.049030163849995444,0.010650457628032467,0.25988769664731326,0.009003249166112191,0.29194364463647415,-0.0006558708217941305,0.5169172602703804,0.23973037819112603,1.9651294055803078e-23,0.11956663862139152,1.1777279817137368e-09,0.1295528952588285,3.4969231593915737e-11,-3.9060480348669785e-05,0.5010464153286913,90.61343050003052
S-CPI_sqrt,0.6,0.8119552033677012,0.14767417035373043,3.115772213816378e-11,0.032364411242397285,0.04845170448434128,0.010795918810899596,0.25729857086264274,0.008939717966948852,0.29355969801240056,-0.0005867259963795748,0.5151752022247373,0.21858782411980718,2.2894155997394745e-20,0.11993453837299378,1.0546593994310335e-09,0.12999672811554736,3.134055407452311e-11,-3.1844779921251885e-05,0.5008533157206514,91.04361033439636
S-CPI_sqrt,0.9,0.8121190900474707,0.1480921819532361,2.835019884154782e-11,0.03216804784207181,0.04955995000995045,0.010775508516851141,0.2574236018316033,0.008910506252918327,0.2939760474009087,-0.00017650055208610777,0.5046881350214244,0.21198562278122735,2.0106818578353404e-19,0.11982826739264213,1.0442510177021053e-09,0.12997868216453848,3.00085179020767e-11,-5.5455542782805786e-05,0.5014873747077438,89.44353723526001
S-CPI_n,0.0,0.810450204953024,0.15088595377147007,9.623796890729652e-81,0.03268473150895981,8.757042328163305e-12,0.010934801228623316,1.234771289405673e-09,0.010360061745271841,2.932941186012985e-09,0.009598111382281484,8.214684723761737e-07,0.18743486755434846,1.2330173244219986e-119,0.11894239849277376,3.43143658274505e-109,0.12743363827523616,1.8171641776084163e-134,-0.0006236471232752686,0.8009855711137349,93.29348659515381
S-CPI_n,0.3,0.81209915274032,0.14765476960190896,1.6722657852318836e-78,0.03230575122799799,1.862899104960969e-11,0.010650457628032467,1.0728004831151766e-08,0.009003249166112191,2.597569095712193e-07,-0.0006558708217941305,0.7886331906564894,0.23973037819112603,3.7335097280274095e-139,0.11956663862139152,9.988440784838382e-110,0.1295528952588285,4.372556072357982e-136,-3.9060480348669785e-05,0.5626547340790735,90.3250777721405
S-CPI_n,0.6,0.8119552033677012,0.14767417035373043,1.859509590175642e-77,0.032364411242397285,1.2763616609001607e-11,0.010795918810899596,9.697424499254254e-09,0.008939717966948852,4.455782739167584e-07,-0.0005867259963795748,0.7749695691868985,0.21858782411980718,1.6525532209378208e-125,0.11993453837299378,2.4557769299969082e-110,0.12999672811554736,4.435407250231335e-136,-3.1844779921251885e-05,0.5519001272232636,90.86510491371155
S-CPI_n,0.9,0.8121190900474707,0.1480921819532361,1.3509109027516445e-77,0.03216804784207181,1.843093481355264e-11,0.010775508516851141,7.1369871074705135e-09,0.008910506252918327,3.809070688020759e-07,-0.00017650055208610777,0.680972238860695,0.21198562278122735,6.512648788561622e-121,0.11982826739264213,4.447821551163577e-111,0.12997868216453848,3.37859233654687e-137,-5.5455542782805786e-05,0.5951739374130789,90.08418130874634
S-CPI_bt,0.0,0.810450204953024,0.15088595377147007,0.0,0.03268473150895981,0.0,0.010934801228623316,0.0,0.010360061745271841,0.0,0.009598111382281484,0.0,0.18743486755434846,0.0,0.11894239849277376,0.0,0.12743363827523616,0.0,-0.0006236471232752686,0.9995220657243908,150.92524671554565
S-CPI_bt,0.3,0.81209915274032,0.14765476960190896,0.0,0.03230575122799799,0.0,0.010650457628032467,0.0,0.009003249166112191,0.0,-0.0006558708217941305,0.9997418673695181,0.23973037819112603,0.0,0.11956663862139152,0.0,0.1295528952588285,0.0,-3.9060480348669785e-05,0.5820809412756451,148.92773985862732
S-CPI_bt,0.6,0.8119552033677012,0.14767417035373043,0.0,0.032364411242397285,0.0,0.010795918810899596,0.0,0.008939717966948852,0.0,-0.0005867259963795748,0.9990553237572233,0.21858782411980718,0.0,0.11993453837299378,0.0,0.12999672811554736,0.0,-3.1844779921251885e-05,0.5670781946920904,151.40085577964783
S-CPI_bt,0.9,0.8121190900474707,0.1480921819532361,0.0,0.03216804784207181,0.0,0.010775508516851141,0.0,0.008910506252918327,0.0,-0.00017650055208610777,0.8254153154109927,0.21198562278122735,0.0,0.11982826739264213,0.0,0.12997868216453848,0.0,-5.5455542782805786e-05,0.6156975487108339,154.23171949386597
S-CPI_sqd,0.0,0.810450204953024,0.15088595377147007,0.0,0.03268473150895981,0.0,0.010934801228623316,0.0,0.010360061745271841,0.0,0.009598111382281484,0.0,0.18743486755434846,0.0,0.11894239849277376,0.0,0.12743363827523616,0.0,-0.0006236471232752686,1.0,152.64252758026123
